10/04/2021 17:31:05,Sandwich:2.00/Tea:1.00/Flat White:1.50/Hot Chocolate:3.00/Cappuccino:2.00/Americano:3.00/Sandwich:2.00,14.50,20.00,5.50
10/04/2021 17:31:46,Flat White:1.50/Flat White:1.50/Flat White:1.50,4.50,Visa,N/A
10/04/2021 17:32:09,Sandwich:2.00/Sandwich:2.00/Benji Special:4.00,8.00,Mastercard,N/A
10/04/2021 17:32:33,Hot Chocolate:3.00/Sandwich:2.00,5.00,Visa,N/A
10/04/2021 17:45:15,Sandwich:2.00/Tea:1.00/Cappuccino:2.00,5.00,10.00,5.00
10/04/2021 17:46:28,Americano:3.00/Hot Chocolate:3.00,6.00,Visa,N/A
10/04/2021 17:47:22,Benji Special:4.00/Flat White:1.50,5.50,Visa,N/A
10/04/2021 21:09:24,Sandwich:2.00,2.00,Visa,N/A
10/04/2021 21:18:44,Sandwich:2.00,2.00,10.00,8.00
11/04/2021 01:28:47,Sandwich:2.00,2.00,Mastercard,N/A
12/04/2021 21:17:40,Sandwich:2.00/Hot Chocolate:3.00,5.00,Mastercard,N/A
12/04/2021 21:18:10,Tea:1.00/Benji Special:4.00/Sandwich:2.00,7.00,10.00,3.00
12/04/2021 21:18:44,Sandwich:2.00/Sandwich:2.00/Flat White:1.50/Flat White:1.50/Cappuccino:2.00/Cappuccino:2.00/Benji Special:4.00/Benji Special:4.00,19.00,50.00,31.00
12/04/2021 22:20:27,Akkshita Special:15.00/Hot Chocolate:3.00,18.00,18.00,0.00
13/04/2021 15:11:18,Sandwich:2.00/Hot Chocolate:3.00,5.00,10.00,5.00
13/04/2021 15:11:48,Akkshita Special:15.00/Benji Special:4.00,19.00,Visa,N/A
13/04/2021 18:35:14,Benji Special:4.00/Akkshita Special:15.00,19.00,Visa,N/A
17/04/2021 01:11:56,Sandwich:2.00,2.00,2.50,0.50
17/04/2021 01:21:58,Free Sample:0.00,0.00,0.00,0.00
17/04/2021 01:22:46,Free Sample:0.00,0.00,Visa,N/A
